rank,inverter_id,date,latest_factor,latest_relative_factor,degradation_rate_pct_per_year,fast_degradation,recent_factor_points,total_frozen_lost_kwh
1,INV 01.07.047,2026-06-01,0.7648598256449293,0.821757755782669,17.284421601914975,False,30,51370.64931272211
2,INV 01.08.058,2026-05-31,0.8206581675313043,0.8914168140595886,-24.516180882625168,True,30,31893.718165033657
3,INV 01.07.045,2026-06-01,0.9294540808780936,1.002484784631382,-19.410967094665136,True,30,31240.127380662285
4,INV 01.09.062,2026-05-31,0.9133229810212675,0.9816466974111223,128.2479943674207,False,30,29660.46716688717
5,INV 01.07.051,2026-06-01,0.9617365049433375,1.03433515857705,11.342681388435185,False,30,28314.637650737204
6,INV 01.02.012,2026-06-01,0.7529755729017104,0.8868240532607532,-19.14276445872155,True,30,26763.67078819051
7,INV 01.01.002,2026-06-01,0.7996558347983758,0.9414231856961184,-4.1628392626638755,True,30,26315.88092500925
8,INV 01.01.004,2026-06-01,0.7879741966664068,0.93132464240453,-13.560166058746983,True,30,25718.537727791027
9,INV 01.03.016,2026-06-01,0.8223055279355338,0.989225989267461,-8.875740153275189,True,30,24172.505481300792
10,INV 01.08.057,2026-05-31,0.8910083293165727,0.9641198871351806,133.99300361052676,False,30,23703.211401181725
11,INV 01.01.003,2026-06-01,0.8349974502229374,0.9842969793472488,-10.298784230998377,True,30,22903.87158401332
12,INV 01.07.046,2026-06-01,0.9141288934955516,0.9847851934348548,-13.69868034760096,True,30,22267.79717031283
13,INV 01.01.007,2026-06-01,0.82339559947398,0.9671943814250499,1.8696670132081241,False,30,21932.424667021445
14,INV 01.06.039,2026-06-01,0.8591829053767147,1.016586693620806,-21.41210155833446,True,30,19761.370445512555
15,INV 01.06.037,2026-06-01,0.8459606386961026,0.9954570460899845,-3.3588677163740233,True,30,18918.25396695931
16,INV 01.03.018,2026-06-01,0.8182874330017432,0.9876700959334468,-16.911214812962136,True,30,18631.722107647915
17,INV 01.02.014,2026-06-01,0.8512778283807168,1.0007507987191446,-2.3611210488222416,False,30,18591.316895685
18,INV 01.08.053,2026-05-31,0.8289242286933844,0.9510832355172909,-73.08108288425171,True,30,18324.50915891546
19,INV 01.04.026,2026-06-01,0.8853640664973029,1.0656324690792356,1.5996663746226853,False,30,18323.493427052716
20,INV 01.02.011,2026-06-01,0.8586741763469172,1.0102671590842043,-3.781677862680042,True,30,18119.187659172672
21,INV 01.06.043,2026-06-01,0.8593864450930431,1.010296468543593,-3.9056201634258567,True,30,16857.503712974154
22,INV 01.03.017,2026-06-01,0.8314749074768969,1.0,8.095676838643298,False,30,16801.934043741116
23,INV 01.03.020,2026-06-01,0.8296319640292632,0.9942478401936217,9.291925712645781,False,30,16482.87088580818
24,INV 01.06.042,2026-06-01,0.8447211713093316,0.9983951836613969,-15.9754322772064,True,30,16026.484825463827
25,INV 01.06.038,2026-06-01,0.8473195711867663,0.9970713269049944,-10.52331132923093,True,30,15990.18138468862
26,INV 01.02.013,2026-06-01,0.8746932690460965,1.0280204350171354,0.5527066971602015,False,30,15491.735923602248
27,INV 01.05.035,2026-06-01,0.9382911233965725,1.0092045142442143,-16.143038760857213,True,30,15307.824279585075
28,INV 01.06.036,2026-06-01,0.8677790188832167,1.01808026714875,-22.0416024666075,True,30,15148.934530295259
29,INV 01.02.010,2026-06-01,0.8582712376288413,1.0115689463723652,-8.748462423601799,True,30,14907.979826534141
30,INV 01.08.056,2026-05-31,0.9104042739924341,0.9836419643309341,132.58691318032308,False,30,14006.886618866174
31,INV 01.09.060,2026-05-31,0.9143311727921456,0.9834157377860046,-47.47629846884295,True,30,13842.849387804663
32,INV 01.04.025,2026-06-01,0.8830336828084984,0.9718470716275371,-21.744350024402557,True,30,13649.97646327568
33,INV 01.01.001,2026-06-01,0.8421126622646995,0.9933249760624019,-8.892603141562754,True,30,13637.179506933378
34,INV 01.01.005,2026-06-01,0.862176803667464,1.0129429449103986,4.364995507231002,False,30,13479.364198565114
35,INV 01.01.006,2026-06-01,0.8502275500295008,0.9995597909046785,-28.20659529284888,True,30,13398.850228797393
36,INV 01.06.040,2026-06-01,0.8493484837692026,0.9984593842613743,-28.047945445738907,True,30,13289.692581784484
37,INV 01.09.065,2026-05-31,0.9035478274984428,0.9705785444391998,123.03714231130871,False,30,12714.497055131402
38,INV 01.09.063,2026-05-31,0.9318666456737889,1.0005959450446613,73.59195183201774,False,30,12373.365675684698
39,INV 01.08.052,2026-05-31,0.9740493687246732,1.016237673848738,67.80874734054159,False,30,11368.174655784043
40,INV 01.02.008,2026-06-01,0.8493875396493474,0.9985091702097677,-24.934844644882816,True,30,11315.333479102406
41,INV 01.07.050,2026-06-01,0.9286388544472197,1.0,-13.721923757270856,True,30,11269.543186532992
42,INV 01.03.015,2026-06-01,0.8430371037388515,1.0158093568567625,-8.407623213408426,True,30,11020.921007699513
43,INV 01.02.009,2026-06-01,0.8826316456191879,1.0389139882025935,-15.988417045951097,True,30,10797.55921528844
44,INV 01.03.019,2026-06-01,0.8499547076367113,1.025234218620952,5.980224828714118,False,30,10638.301039108439
45,INV 01.08.055,2026-05-30,0.9385580404734555,1.0,-48.75011940059943,True,30,10621.292823356822
46,INV 01.06.041,2026-06-01,0.8748603683051209,1.0303269386375375,-12.88350648796829,True,30,10602.930699661287
47,INV 01.07.044,2026-06-01,0.761898283336593,0.8210851915996624,-14.511738856369286,True,30,10429.188335872223
48,INV 01.03.021,2026-06-01,0.8836601496217441,1.0420358454798495,-11.764380796276347,True,30,10312.559378082731
49,INV 01.05.031,2026-06-01,0.9360374154216182,1.0757286440546516,-6.598330314474528,True,30,9629.381964940272
50,INV 01.05.033,2026-06-01,0.9343384251161967,1.0755799674555535,-16.334081450410583,True,30,9334.477254737736
51,INV 01.04.024,2026-06-01,0.9095520244307221,0.9996151674758781,2.401332838073499,False,30,9280.548543179713
52,INV 01.08.059,2026-05-31,0.9803352737589275,1.0547103957996475,16.837555965335888,False,30,9263.657772890674
53,INV 01.04.027,2026-06-01,0.8980836562692708,0.9662318879010264,-4.531296505308863,True,30,9200.92496961892
54,INV 01.07.048,2026-06-01,0.9315040128736883,1.0027661158627263,-33.85343328546436,True,30,9172.036623789958
55,INV 01.05.029,2026-06-01,0.9576396512119608,1.1000286891888142,-21.132096090269,True,30,8648.008173961689
56,INV 01.04.023,2026-06-01,0.9101963574381382,1.0005741330462836,-10.380914107044596,True,30,8298.664634933564
57,INV 01.07.049,2026-06-01,0.9570681125605464,1.0303324341587778,-14.550270830968353,True,30,8289.314747818908
58,INV 01.04.022,2026-06-01,0.9356629044601497,1.0282382806348385,-15.338314138149908,True,30,8245.956693501781
59,INV 01.09.064,2026-05-31,0.9310726145400512,1.0,-38.19193066105727,True,30,8127.420065677962
60,INV 01.09.061,2026-05-31,0.9342562065070009,1.0034750690370167,-39.85257569113175,True,30,7577.078625563674
61,INV 01.04.028,2026-06-01,0.9196135953307396,0.990795485755786,-14.473062715238264,True,30,7475.844157939352
62,INV 01.05.032,2026-06-01,0.9121574165019005,1.009135310556162,-25.504819965793,True,30,6742.903380002211
63,INV 01.08.054,2026-05-31,0.9427637661077679,1.0174333370342858,-38.76266834747544,True,30,6136.236508312853
64,INV 01.05.034,2026-06-01,0.9550982060825852,1.0262526992650502,-18.470974384034342,True,30,5236.874030083971
65,INV 01.05.030,2026-06-01,1.1,1.187109177388783,-1.5819367589679342e-13,False,30,489.45311524572116
