inverter_id,pdc_kwp,module_type,manufacturer,module_wattage,modules,strings,modules_per_string,inverter_group,capacity_band
INV 01.01.001,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.01,standard
INV 01.01.002,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.01,standard
INV 01.01.003,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.01,standard
INV 01.01.004,24.48,Module Type 1,Manufacturer 1,255,96,4,24,INV 01.01,medium
INV 01.01.005,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.01,standard
INV 01.01.006,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.01,standard
INV 01.01.007,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.01,standard
INV 01.02.008,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.02.009,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.02.010,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.02.011,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.02.012,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.02.013,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.02.014,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.02,standard
INV 01.03.015,30.0,Module Type 2,Manufacturer 1,250,120,5,24,INV 01.03,standard
INV 01.03.016,30.0,Module Type 2,Manufacturer 1,250,120,5,24,INV 01.03,standard
INV 01.03.017,30.0,Module Type 2,Manufacturer 1,250,120,5,24,INV 01.03,standard
INV 01.03.018,30.0,Module Type 2,Manufacturer 1,250,120,5,24,INV 01.03,standard
INV 01.03.019,30.0,Module Type 2,Manufacturer 1,250,120,5,24,INV 01.03,standard
INV 01.03.020,30.0,Module Type 2,Manufacturer 1,250,120,5,24,INV 01.03,standard
INV 01.03.021,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.03,standard
INV 01.04.022,28.2,Module Type 5,Manufacturer 1,235,120,5,24,INV 01.04,standard
INV 01.04.023,28.2,Module Type 5,Manufacturer 1,235,120,5,24,INV 01.04,standard
INV 01.04.024,28.2,Module Type 5,Manufacturer 1,235,120,5,24,INV 01.04,standard
INV 01.04.025,28.2,Module Type 5,Manufacturer 1,235,120,5,24,INV 01.04,standard
INV 01.04.026,18.0,Module Type 2,Manufacturer 1,250,72,3,24,INV 01.04,small
INV 01.04.027,23.52,Module Type 3,Manufacturer 1,245,96,4,24,INV 01.04,medium
INV 01.04.028,29.4,Module Type 3,Manufacturer 1,245,120,5,24,INV 01.04,standard
INV 01.05.029,28.8,Module Type 6,Manufacturer 2,240,120,5,24,INV 01.05,standard
INV 01.05.030,5.64,Module Type 7,Manufacturer 2,235,24,1,24,INV 01.05,tiny
INV 01.05.031,28.8,Module Type 6,Manufacturer 2,240,120,5,24,INV 01.05,standard
INV 01.05.032,21.56,Module Type 9,Manufacturer 3,245,88,4,22,INV 01.05,medium
INV 01.05.033,28.5,Module Type 13,Manufacturer 4,285,100,5,20,INV 01.05,standard
INV 01.05.034,29.4,Module Type 3,Manufacturer 1,245,120,5,24,INV 01.05,standard
INV 01.05.035,29.4,Module Type 3,Manufacturer 1,245,120,5,24,INV 01.05,standard
INV 01.06.036,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.06.037,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.06.038,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.06.039,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.06.040,24.48,Module Type 1,Manufacturer 1,255,96,4,24,INV 01.06,medium
INV 01.06.041,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.06.042,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.06.043,30.6,Module Type 1,Manufacturer 1,255,120,5,24,INV 01.06,standard
INV 01.07.044,28.2,Module Type 11,Manufacturer 3,235,120,5,24,INV 01.07,standard
INV 01.07.045,28.2,Module Type 11,Manufacturer 3,235,120,5,24,INV 01.07,standard
INV 01.07.046,28.2,Module Type 11,Manufacturer 3,235,120,5,24,INV 01.07,standard
INV 01.07.047,28.2,Module Type 11,Manufacturer 3,235,120,5,24,INV 01.07,standard
INV 01.07.048,22.56,Module Type 11,Manufacturer 3,235,96,4,24,INV 01.07,medium
INV 01.07.049,16.92,Module Type 11,Manufacturer 3,235,72,3,24,INV 01.07,small
INV 01.07.050,22.56,Module Type 11,Manufacturer 3,235,96,4,24,INV 01.07,medium
INV 01.07.051,16.92,Module Type 11,Manufacturer 3,235,72,3,24,INV 01.07,small
INV 01.08.052,17.28,Module Type 10,Manufacturer 3,240,72,3,24,INV 01.08,small
INV 01.08.053,27.6,Module Type 12,Manufacturer 3,230,120,5,24,INV 01.08,standard
INV 01.08.054,28.2,Module Type 7,Manufacturer 2,235,120,5,24,INV 01.08,standard
INV 01.08.055,28.2,Module Type 7,Manufacturer 2,235,120,5,24,INV 01.08,standard
INV 01.08.056,28.2,Module Type 7,Manufacturer 2,235,120,5,24,INV 01.08,standard
INV 01.08.057,28.2,Module Type 7,Manufacturer 2,235,120,5,24,INV 01.08,standard
INV 01.08.058,28.2,Module Type 7,Manufacturer 2,235,120,5,24,INV 01.08,standard
INV 01.08.059,16.56,Module Type 8,Manufacturer 2,230,72,3,24,INV 01.08,small
INV 01.09.060,27.6,Module Type 8,Manufacturer 2,230,120,5,24,INV 01.09,standard
INV 01.09.061,27.6,Module Type 8,Manufacturer 2,230,120,5,24,INV 01.09,standard
INV 01.09.062,27.6,Module Type 8,Manufacturer 2,230,120,5,24,INV 01.09,standard
INV 01.09.063,27.6,Module Type 8,Manufacturer 2,230,120,5,24,INV 01.09,standard
INV 01.09.064,27.6,Module Type 8,Manufacturer 2,230,120,5,24,INV 01.09,standard
INV 01.09.065,27.6,Module Type 8,Manufacturer 2,230,120,5,24,INV 01.09,standard
